,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
0,"{'C': 1e-08, 'kernel': 'linear'}",0.14567708645827082,0.11579768404631907,0.14802592103684148,0.13650023051381047,442
1,"{'C': 1e-07, 'kernel': 'linear'}",0.13385732285354293,0.14297714045719084,0.13152526101044043,0.13611990810705807,445
2,"{'C': 1e-06, 'kernel': 'linear'}",0.11993760124797503,0.15233695326093477,0.1186247449897996,0.13029976649956979,453
3,"{'C': 1e-05, 'kernel': 'linear'}",0.14531709365812684,0.16733665326693467,0.17292691707668306,0.16186022133391487,403
4,"{'C': 0.0001, 'kernel': 'linear'}",0.1987760244795104,0.19577608447831044,0.17850714028561143,0.19101974974781077,313
5,"{'C': 0.001, 'kernel': 'linear'}",0.2249955000899982,0.2255354892902142,0.22848913956558262,0.22634004298193167,165
6,"{'C': 0.01, 'kernel': 'linear'}",0.2374752504949901,0.2399952000959981,0.23940957638305532,0.23896000899134784,120
7,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-08}",0.15371692566148676,0.16667666646667068,0.16488659546381856,0.16176006253065867,404
8,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-07}",0.17873642527149458,0.10733785324293514,0.13170526821072842,0.13925984890838605,439
9,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-06}",0.1753164936701266,0.1874362512749745,0.20454818192727708,0.1891003089574594,320
10,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-05}",0.21587568248635028,0.13241735165296695,0.16326653066122646,0.17051985493351454,382
11,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.0001}",0.24227515449691006,0.22703545929081417,0.23838953558142326,0.23590004978971582,134
12,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.001}",0.19379612407751845,0.24671506569868604,0.1669266770670827,0.20247928894776238,279
13,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.01}",0.2272154556908862,0.23093538129237415,0.21168846753870155,0.2232797681739873,185
14,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-08}",0.18971620567588648,0.16535669286614268,0.1362054482179287,0.16375944891998595,400
15,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-07}",0.1883362332753345,0.1864762704745905,0.13956558262330493,0.17145936212440996,374
16,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-06}",0.20321593568128637,0.21881562368752625,0.1781471258850354,0.20005956175128267,289
17,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-05}",0.24659506809863802,0.2260154796904062,0.24732989319572782,0.239980146994924,118
18,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 0.0001}",0.2230155396892062,0.20309593808123838,0.20358814352574103,0.2098998737653952,253
19,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 0.001}",0.24437511249775004,0.2258354832903342,0.16680667226689067,0.21233908935165827,242
