,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
0,"{'C': 1e-08, 'kernel': 'linear'}",0.12065758684826304,0.10979780404391912,0.09900396015840633,0.1098197836835295,462
1,"{'C': 1e-07, 'kernel': 'linear'}",0.11321773564528709,0.124857502849943,0.10236409456378255,0.11347977768633755,457
2,"{'C': 1e-06, 'kernel': 'linear'}",0.11819763604727905,0.12125757484850302,0.12468498739949598,0.12138006609842601,422
3,"{'C': 1e-05, 'kernel': 'linear'}",0.12179756404871903,0.11627767444651108,0.12288491539661586,0.120320051297282,428
4,"{'C': 0.0001, 'kernel': 'linear'}",0.14075718485630287,0.15851682966340674,0.1531261250450018,0.15080004652157045,308
5,"{'C': 0.001, 'kernel': 'linear'}",0.18491630167396653,0.1766964660706786,0.18012720508820354,0.1805799909442829,181
6,"{'C': 0.01, 'kernel': 'linear'}",0.19403611927761444,0.1868962620747585,0.19098763950558023,0.19064000695265104,143
7,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-08}",0.16859662806743866,0.1604367912641747,0.10182407296291851,0.1436191640981773,332
8,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-07}",0.10265794684106318,0.16835663286734265,0.10908436337453498,0.1266996476943136,397
9,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-06}",0.10481790364192717,0.11159776804463911,0.10266410656426257,0.10635992608360961,470
10,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-05}",0.1610967780644387,0.12233755324893503,0.21048841953678146,0.1646409169500517,258
11,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.0001}",0.1633767324653507,0.1761564768704626,0.1639865594623785,0.16783992293273062,244
12,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.001}",0.124797504049919,0.1748965020699586,0.20682827313092525,0.1688407597502676,234
13,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.01}",0.17111657766844662,0.19373612527749445,0.19176767070682826,0.18554012455092309,158
14,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-08}",0.13883722325553488,0.16013679726405472,0.10140405616224649,0.13345935889394536,373
15,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-07}",0.11903761924761505,0.1379372412551749,0.1780871234849394,0.1450206613292431,328
16,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-06}",0.11879762404751905,0.1384772304553909,0.13674546981879276,0.13134010810723423,377
17,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-05}",0.10349793004139918,0.16421671566568669,0.16506660266410655,0.1442604161237308,331
18,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 0.0001}",0.2240355192896142,0.23603527929441412,0.19620784831393256,0.21875954896598696,69
19,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 0.001}",0.16571668566628667,0.1514369712605748,0.1998079923196928,0.17232054974885144,214
20,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 0.01}",0.18989620207595848,0.21635567288654228,0.18180727229089164,0.19601971575113078,131
21,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 1e-08}",0.1004979900401992,0.11165776684466311,0.14916596663866555,0.12044057450784262,426
22,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 1e-07}",0.13997720045599088,0.16193676126477471,0.17358694347773912,0.1585003017328349,281
23,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 1e-06}",0.12401751964960701,0.14795704085918282,0.14400576023040923,0.13866010691306635,350
24,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 1e-05}",0.1118377632447351,0.15521689566208677,0.1859474378975159,0.15100069893477927,307
25,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 0.0001}",0.24221515569688606,0.20213595728085437,0.20442817712708508,0.21625976336827515,77
26,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 0.001}",0.20687586248275033,0.16787664246715064,0.2064682587303492,0.1937402545600834,136
27,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 0.01}",0.22157556848863022,0.22745545089098218,0.23004920196807874,0.22636007378256373,43
28,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 1e-08}",0.09719805603887922,0.09773804523909521,0.1344053762150486,0.10978049249767435,463
29,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 1e-07}",0.124977500449991,0.14795704085918282,0.09792391695667826,0.12361948608861735,410
30,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 1e-06}",0.1498170036599268,0.11945761084778304,0.11520460818432737,0.12815974089734575,392
31,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 1e-05}",0.18683626327473452,0.1111777764444711,0.15192607704308173,0.14998003892076242,311
32,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 0.0001}",0.2363352732945341,0.1766964660706786,0.1781471258850354,0.1970596217500827,126
33,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 0.001}",0.21869562608747825,0.1871962560748785,0.1684867394695788,0.1914595405439785,141
34,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 0.01}",0.23303533929321413,0.2383152336953261,0.234489379575183,0.23527998418790774,34
35,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1e-08}",0.1008579828403432,0.10553788924221516,0.1016440657626305,0.10267997928172962,479
