,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
0,"{'C': 1e-08, 'kernel': 'linear'}",0.13175736485270295,0.1373972520549589,0.1267850714028561,0.131979896103506,423
1,"{'C': 1e-07, 'kernel': 'linear'}",0.11777764444711106,0.1508969820603588,0.12606504260170406,0.13157988970305798,424
2,"{'C': 1e-06, 'kernel': 'linear'}",0.14405711885762285,0.11483770324593508,0.11640465618624744,0.12509982609660178,445
3,"{'C': 1e-05, 'kernel': 'linear'}",0.15659686806263876,0.14501709965800683,0.14778591143645745,0.14979995971903434,361
4,"{'C': 0.0001, 'kernel': 'linear'}",0.15887682246355073,0.15323693526129478,0.15384615384615385,0.15531997052366645,347
5,"{'C': 0.001, 'kernel': 'linear'}",0.19067618647627047,0.19409611807763844,0.18828753150126004,0.19101994535172295,218
6,"{'C': 0.01, 'kernel': 'linear'}",0.20909581808363834,0.20645587088258235,0.20082803312132486,0.20545990736251518,170
7,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-08}",0.12257754844903102,0.10121797564048719,0.10218408736349453,0.10865987048433758,479
8,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-07}",0.13583728325433492,0.14345713085738285,0.10098403936157446,0.1267594844910974,441
9,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-06}",0.14333713325733485,0.16493670126597468,0.10530421216848673,0.13785934889726542,406
10,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-05}",0.09521809563808724,0.18557628847423052,0.13368534741389657,0.1381599105087381,405
11,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.0001}",0.19595608087838243,0.22337553248935021,0.11988479539181568,0.17973880291984945,261
12,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.001}",0.20309593808123838,0.19613607727845442,0.16344653786151447,0.18755951774040244,236
13,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.01}",0.2138357232855343,0.19409611807763844,0.19086763470538823,0.199599825356187,186
14,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-08}",0.09749805003899922,0.13493730125397493,0.187627505100204,0.1400209521310594,398
15,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-07}",0.14141717165656686,0.1907961840763185,0.18288731549261972,0.17170022374183502,297
16,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-06}",0.16793664126717467,0.11711765764684706,0.15696627865114604,0.1473401925217226,376
17,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-05}",0.21113577728445432,0.18611627767444652,0.17424696987879515,0.19049967494589867,222
18,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 0.0001}",0.2725145497090058,0.17105657886842263,0.2108484339373575,0.21813985417159532,148
