,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score
0,"{'C': 0.0001, 'kernel': 'linear'}",0.17849643007139857,0.18983620327593448,0.18984759390375616,0.18606007575036307
1,"{'C': 0.001, 'kernel': 'linear'}",0.2243355132897342,0.21467570648587028,0.22524900996039843,0.22142007657866766
2,"{'C': 0.01, 'kernel': 'linear'}",0.23549529009419812,0.2405951880962381,0.2424096963878555,0.2395000581927639
3,"{'C': 0.1, 'kernel': 'linear'}",0.2118557628847423,0.21053578928421432,0.20886835473418935,0.2104199689677153
4,"{'C': 10, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
5,"{'C': 100, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
6,"{'C': 1000, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
7,"{'C': 10000, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
8,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 2}",0.21233575328493431,0.2376552468950621,0.20424816992679706,0.21807972336893114
9,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 3}",0.2106557868842623,0.2358552828943421,0.23796951878075123,0.2281601961864519
10,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 4}",0.248635027299454,0.24281514369712606,0.2110884435377415,0.2341795381781072
11,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 5}",0.22679546409071819,0.24329513409731807,0.23994959798391935,0.23668006539065187
12,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 10}",0.21797564048719026,0.2230755384892302,0.2327493099723989,0.2246001629829398
13,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 50}",0.21803563928721426,0.1896562068758625,0.23046921876875076,0.21272035497727582
14,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 2}",0.27785444291114175,0.2796544069118618,0.2799711988479539,0.2791600162236525
15,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 3}",0.2829543409131817,0.2842743145137097,0.2750510020400816,0.28075988582232436
16,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 4}",0.2888942221155577,0.2773144537109258,0.28207128285131405,0.2827599862259325
17,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 5}",0.2768944621107578,0.2781544369112618,0.2826713068522741,0.2792400686247645
