,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score
0,"{'C': 0.0001, 'kernel': 'linear'}",0.1496370072598548,0.15347693046139077,0.1485059402376095,0.15053995931961836
1,"{'C': 0.001, 'kernel': 'linear'}",0.18227635447291055,0.1880962380752385,0.17844713788551542,0.1829399101445548
2,"{'C': 0.01, 'kernel': 'linear'}",0.1985960280794384,0.1987160256794864,0.1888275531021241,0.19537986895368298
3,"{'C': 0.1, 'kernel': 'linear'}",0.17003659926801465,0.1760964780704386,0.17298691947677908,0.17303999893841074
4,"{'C': 10, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
5,"{'C': 100, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
6,"{'C': 1000, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
7,"{'C': 10000, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
8,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 2}",0.17111657766844662,0.1979360412791744,0.16812672506900275,0.1790597813388746
9,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 3}",0.1986560268794624,0.1759764804703906,0.15978639145565823,0.1781396329351704
10,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 4}",0.17129657406851864,0.16841663166736665,0.2081483259330373,0.18262051055630754
11,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 5}",0.17585648287034258,0.18443631127377452,0.1750270010800432,0.17843993174138675
12,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 10}",0.1889362212755745,0.14639707205855884,0.15528621144845794,0.1635398349275304
13,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 50}",0.18059638807223855,0.17789644207115857,0.18228729149165968,0.1802600405450189
14,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 2}",0.24449511009779804,0.2273354532909342,0.23856954278171127,0.23680003539014782
15,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 3}",0.24335513289734206,0.24803503929921403,0.24822992919716788,0.246540033797908
16,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 4}",0.23285534289314214,0.2377152456950861,0.23364934597383896,0.23473997818735573
17,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 5}",0.2363352732945341,0.2124557508849823,0.22752910116404657,0.22544004178118768
18,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 10}",0.23303533929321413,0.2389152216955661,0.2361694467778711,0.23604000258888377
19,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 50}",0.21791564168716626,0.22853542929141418,0.22926917076683068,0.2252400805818037
20,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 2}",0.2405951880962381,0.2364552708945821,0.23190927637105485,0.2363199117872917
21,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 3}",0.23921521569568607,0.2383752324953501,0.23328933157326293,0.2369599265880997
22,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 4}",0.23519529609407813,0.24395512089758206,0.23682947317892716,0.2386599633901958
23,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 5}",0.23531529369412613,0.2374152516949661,0.23700948037921518,0.23658000858943581
24,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 10}",0.2377152456950861,0.24107517849643006,0.2376695067802712,0.2388199769905958
