,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score
0,"{'C': 0.0001, 'kernel': 'linear'}",0.1614567708645827,0.16991660166796663,0.1625465018600744,0.1646399581308746
1,"{'C': 0.001, 'kernel': 'linear'}",0.1852762944741105,0.18119637607247854,0.19752790111604465,0.18800019055421124
2,"{'C': 0.01, 'kernel': 'linear'}",0.20525589488210236,0.1981760364792704,0.20688827553102124,0.20344006896413136
3,"{'C': 0.1, 'kernel': 'linear'}",0.18107637847243055,0.18227635447291055,0.17760710428417137,0.1803199457431708
4,"{'C': 10, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
5,"{'C': 100, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
6,"{'C': 1000, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
7,"{'C': 10000, 'kernel': 'linear'}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
8,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 2}",0.24191516169676605,0.22769544609107817,0.1936277451098044,0.22107945096588288
9,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 3}",0.2012959740805184,0.2271554568908622,0.2126485059402376,0.21369997897053938
10,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 4}",0.21857562848743026,0.22013559728805424,0.20580823232929318,0.21483981936825924
11,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 5}",0.20699586008279836,0.2121557568848623,0.19908796351854074,0.20607986016206714
12,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 10}",0.21923561528769425,0.20447591048179037,0.22596903876155047,0.2165601881770117
13,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 50}",0.22121557568848624,0.2236755264894702,0.20862834513380535,0.21783981577058728
14,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 2}",0.2673546529069419,0.2767744645107098,0.2711508460338414,0.2717599878171644
15,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 3}",0.2590148197036059,0.247195056098878,0.2743309732389296,0.26018028301380447
