,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
0,"{'C': 1e-08, 'kernel': 'linear'}",0.11885762284754305,0.125337493250135,0.09564382575303013,0.11327964728356939,483
1,"{'C': 1e-07, 'kernel': 'linear'}",0.1124377512449751,0.10967780644387112,0.12252490099603984,0.11488015289496202,481
2,"{'C': 1e-06, 'kernel': 'linear'}",0.15665686686266275,0.12377752444951101,0.09918396735869435,0.12653945289028937,468
3,"{'C': 1e-05, 'kernel': 'linear'}",0.1488570228595428,0.14795704085918282,0.15126605064202567,0.14936003812025045,439
4,"{'C': 0.0001, 'kernel': 'linear'}",0.16751664966700666,0.1738765224695506,0.15240609624384976,0.16459975612680236,410
5,"{'C': 0.001, 'kernel': 'linear'}",0.24329513409731807,0.22967540649187015,0.20232809312372496,0.22509954457097106,241
6,"{'C': 0.01, 'kernel': 'linear'}",0.2645947081058379,0.24353512929741405,0.26371054842193686,0.2572801286083963,112
7,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-08}",0.09659806803863923,0.1518569628607428,0.10242409696387855,0.11695970928775352,480
8,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-07}",0.10685786284274315,0.10757784844303114,0.10212408496339853,0.10551993208305761,489
9,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-06}",0.11381772364552709,0.10487790244195117,0.10584423376935077,0.10817995328560968,485
10,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-05}",0.12377752444951101,0.20681586368272634,0.23586943477739108,0.18882094096987614,356
11,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.0001}",0.20759584808303833,0.19415611687766246,0.20262810512420495,0.20146002336163524,325
12,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.001}",0.19085618287634248,0.22763544729105417,0.23652946117844714,0.21834036378194796,260
13,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.01}",0.25463490730185395,0.24689506209875803,0.23928957158286332,0.24693984699449179,165
14,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-08}",0.21689566208675826,0.19331613367732645,0.19284771390855635,0.20101983655754704,327
15,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-07}",0.1627767444651107,0.1604967900641987,0.23220928837153487,0.1851609409669481,367
16,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-06}",0.15275694486110278,0.22055558888822224,0.21930877235089405,0.1975404353667397,335
17,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-05}",0.1639767204655907,0.29003419931601365,0.18192727709108364,0.21197939895756268,285
18,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 0.0001}",0.25127497450051,0.23435531289374212,0.16014640585623424,0.21525889775016213,277
19,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 0.001}",0.2600347993040139,0.23495530089398212,0.2557902316092644,0.25026011060242015,140
20,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 0.01}",0.251814963700726,0.25067498650027,0.24396975879035163,0.24881990299711587,150
21,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 1e-08}",0.17351652966940662,0.15809683806323874,0.17148685947437897,0.1677000757356748,404
22,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 1e-07}",0.19409611807763844,0.1628367432651347,0.2574702988119525,0.20480105338490853,314
23,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 1e-06}",0.1858762824743505,0.22871542569148617,0.2220088803552142,0.2122001961736836,284
24,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 1e-05}",0.30203395932081356,0.26771464570708586,0.23844953798151927,0.2693993810031396,84
25,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 0.0001}",0.22565548689026219,0.19373612527749445,0.2949117964718589,0.2381011362132052,192
26,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 0.001}",0.29549409011819766,0.29477410451790964,0.2827913116524661,0.2910198354295244,32
27,"{'C': 1e-06, 'kernel': 'rbf', 'gamma': 0.01}",0.252714945701086,0.249115017699646,0.24000960038401536,0.24727985459491575,161
28,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 1e-08}",0.1609167816643667,0.125817483650327,0.10086403456138246,0.1291994332920254,464
29,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 1e-07}",0.2123957520849583,0.21473570528589428,0.24768990759630385,0.22494045498905213,242
30,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 1e-06}",0.2737745245095098,0.2267354652906942,0.1955478219128765,0.2320192705710268,218
31,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 1e-05}",0.2120357592848143,0.21803563928721426,0.24234969398775952,0.22414036418659603,248
32,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 0.0001}",0.24455510889782203,0.23555528889422211,0.26983079323172926,0.2499803970079245,145
33,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 0.001}",0.2953140937181256,0.30773384532309356,0.27739109564382575,0.29347967822834825,31
34,"{'C': 1e-05, 'kernel': 'rbf', 'gamma': 0.01}",0.24305513889722205,0.2389152216955661,0.22722908916356654,0.2363998165854516,201
35,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1e-08}",0.1117177656446871,0.17123657526849462,0.10482419296771871,0.12925951129363347,463
