,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
0,"{'C': 1e-08, 'kernel': 'linear'}",0.19553608927821445,0.14291714165716685,0.14886595463818553,0.16243972852452226,457
1,"{'C': 1e-07, 'kernel': 'linear'}",0.14207715845683086,0.17177656446871062,0.14592583703348133,0.15325985331967426,463
2,"{'C': 1e-06, 'kernel': 'linear'}",0.0997180056398872,0.09515809683806324,0.14124564982599305,0.1120405841013145,477
3,"{'C': 1e-05, 'kernel': 'linear'}",0.15941681166376673,0.15821683566328673,0.1486859474378975,0.15543986492165032,460
4,"{'C': 0.0001, 'kernel': 'linear'}",0.20885582288354232,0.17963640727185456,0.18546741869674788,0.19131988295071492,447
5,"{'C': 0.001, 'kernel': 'linear'}",0.26765464690706187,0.26699466010679784,0.22536901476059043,0.2533394405914834,307
6,"{'C': 0.01, 'kernel': 'linear'}",0.3149937001259975,0.3012539749205016,0.3155526221048842,0.3106000990504611,175
7,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-08}",0.19157616847663048,0.1501769964600708,0.17982719308772352,0.17386011934147494,453
8,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-07}",0.24269514609707807,0.24125517489650208,0.20580823232929318,0.22991951777429112,349
9,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-06}",0.2367552648947021,0.21557568848623027,0.27259090363614547,0.24164061900569264,325
10,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 1e-05}",0.2223555528889422,0.2762944741105178,0.24198967958718348,0.2468799021955478,319
11,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.0001}",0.28277434451310973,0.30305393892122157,0.29209168366734667,0.29263998903389266,225
12,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.001}",0.2867342653146937,0.2629747405051899,0.26623064922596906,0.2719798850152842,286
13,"{'C': 1e-08, 'kernel': 'rbf', 'gamma': 0.01}",0.22091558168836622,0.2122157556848863,0.1906276251050042,0.2079196541594189,388
14,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-08}",0.23219535609287814,0.2102957940841183,0.31147245889835595,0.25132120302511746,315
15,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-07}",0.11573768524629507,0.1884562308753825,0.2885515420616825,0.19758181939445332,439
16,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-06}",0.3130137397252055,0.2753944921101578,0.2637705508220329,0.2840595942191321,249
17,"{'C': 1e-07, 'kernel': 'rbf', 'gamma': 1e-05}",0.2624947501049979,0.3617927641447171,0.32143285731429255,0.3152401238546692,161
